id_os;Název soudu;Nadřízený soud;Délka řízení ve dnech: Průměr;Délka řízení ve dnech: Medián;Délka řízení ve dnech: Percentil 90;Odvolání v %: Míra odvolání;Odvolání v %: Míra změny rozsudku;Odvolání v %: Celk. míra zm. rozs.;Vyřizování věcí: Obživa+nápad;Vyřizování věcí: Vyřízeno;Vyřizování věcí: Nevyřízeno;Vyřizování věcí: Míra vyřizování;Vyřizování věcí: Disposition time;Počet soudců k 1.1.;Vyřizování věcí na soudce: Obživa+nápad;Vyřizování věcí na soudce: Vyřízeno;Vyřizování věcí na soudce: Nevyřízeno;Vyřizování věcí na soudce: Míra odsouzení v %;Evidenční počet soudců k 1.1.;rok;agenda_typ
30;Tábor;KS Č. Budějovice;118.2293;79.5;227.0;30.45113;48.52941;14.777753727333;505.0;528.0;68.0;104.55445544554456;47.00757575757576;2.8;180.35714285714286;188.57142857142858;24.28571428571429;96.14561;4.0;2024;trestní agenda
31;Domažlice;KS Plzeň;94.25203;36.0;122.0;28.2353;50.0;14.11765;312.0;309.0;30.0;99.03846153846155;35.43689320388349;2.0;156.0;154.5;15.0;97.1831;2.0;2024;trestní agenda
32;Cheb;KS Plzeň;130.5099;69.0;222.0;23.01136;46.05263;10.597336478768;670.0;660.0;98.0;98.50746268656717;54.1969696969697;3.4000000000000004;197.05882352941174;194.1176470588235;28.823529411764703;94.61279;5.0;2024;trestní agenda
33;Karlovy Vary;KS Plzeň;180.0238;94.0;391.0;20.91153;58.73016;12.281375027447998;728.0;756.0;97.0;103.84615384615385;46.83201058201058;6.0;121.33333333333333;126.0;16.166666666666668;92.68966;7.0;2024;trestní agenda
34;Klatovy;KS Plzeň;159.3478;74.0;460.0;23.38308;51.16279;11.963436115932;511.0;507.0;68.0;99.21722113502935;48.954635108481256;2.2;232.27272727272725;230.45454545454544;30.909090909090907;95.72072;2.0;2024;trestní agenda
35;Plzeň-jih;KS Plzeň;135.4962;90.0;287.0;24.8;60.71429;15.057143920000001;307.0;326.0;37.0;106.18892508143323;41.42638036809816;2.5;122.8;130.4;14.8;92.0;3.0;2024;trestní agenda
36;Plzeň-město;KS Plzeň;160.8872;88.0;325.0;34.12409;48.53801;16.563154216609;1362.0;1273.0;302.0;93.46549192364171;86.59073055773763;9.67;140.84798345398139;131.64426059979317;31.2306101344364;95.89552;12.0;2024;trestní agenda
37;Plzeň-sever;KS Plzeň;223.913;155.0;403.0;23.21428;47.82609;11.102482445651999;354.0;365.0;61.0;103.10734463276836;61.0;2.2;160.9090909090909;165.9090909090909;27.727272727272727;94.92538;2.0;2024;trestní agenda
38;Rokycany;KS Plzeň;156.9706;88.0;422.0;30.76923;31.25;9.615384375;312.0;305.0;50.0;97.75641025641025;59.83606557377049;2.5;124.8;122.0;20.0;97.35449;3.0;2024;trestní agenda
39;Sokolov;KS Plzeň;122.8827;54.0;336.0;24.50331;50.76923;12.440141811513;603.0;592.0;90.0;98.17578772802653;55.48986486486486;4.05;148.88888888888889;146.17283950617283;22.22222222222222;95.77982;6.0;2024;trestní agenda
40;Tachov;KS Plzeň;135.6201;94.0;247.0;21.32353;36.0;7.676470800000001;437.0;446.0;81.0;102.05949656750573;66.28923766816143;2.0;218.5;223.0;40.5;97.13542;2.0;2024;trestní agenda
41;Česká Lípa;KS Ústí n. Labem;142.1892;87.0;309.0;16.94561;41.79105;7.081748347904998;864.0;873.0;151.0;101.04166666666667;63.13287514318442;4.35;198.62068965517244;200.6896551724138;34.71264367816092;93.30086;9.0;2024;trestní agenda
42;Děčín;KS Ústí n. Labem;260.0533;90.5;563.0;9.60809;52.85714;5.078561582626;1228.0;1242.0;291.0;101.1400651465798;85.51932367149759;7.6;161.57894736842107;163.42105263157896;38.28947368421053;94.77435;8.0;2024;trestní agenda
43;Chomutov;KS Ústí n. Labem;298.2812;127.0;766.0;16.56535;39.17526;6.48951893241;1161.0;1183.0;342.0;101.89491817398795;105.51986475063399;8.05;144.22360248447202;146.9565217391304;42.48447204968944;93.87234;11.0;2024;trestní agenda
